Year,Month,Day,Time,TempK
2023,1,3,7:55,535.19
2023,1,3,7:35,535.19
2023,1,3,7:15,535.19
2023,1,3,6:55,535.19
2023,1,3,6:35,535.19
2023,1,3,6:15,535.19
2023,1,3,5:55,535.19
2023,1,3,5:35,535.19
2023,1,3,5:15,535.19
2023,1,3,4:55,535.19
2023,1,3,4:35,535.19
2023,1,3,4:15,536.3
2023,1,3,3:55,536.3
2023,1,3,3:35,536.3
2023,1,3,3:15,536.3
2023,1,3,2:55,536.3
2023,1,3,2:35,536.3
2023,1,3,2:15,536.3
2023,1,3,1:55,536.3
2023,1,3,1:35,536.3
2023,1,3,1:15,537.41
2023,1,3,0:55,537.41
2023,1,3,0:35,537.41
2023,1,3,0:15,537.41
2023,1,2,23:55,537.41
2023,1,2,23:35,537.41
2023,1,2,23:15,537.41
2023,1,2,22:55,537.41
2023,1,2,22:35,537.41
2023,1,2,22:15,537.41
2023,1,2,21:55,537.41
2023,1,2,21:35,537.41
2023,1,2,21:15,537.41
2023,1,2,20:55,537.41
2023,1,2,20:35,538.52
2023,1,2,20:15,538.52
2023,1,2,19:55,538.52
2023,1,2,19:35,538.52
2023,1,2,19:15,538.52
2023,1,2,18:55,538.52
2023,1,2,18:35,538.52
2023,1,2,18:15,538.52
2023,1,2,17:55,538.52
2023,1,2,17:35,538.52
2023,1,2,17:15,539.08
2023,1,2,16:55,539.08
2023,1,2,16:35,539.08
2023,1,2,16:15,539.08
2023,1,2,15:55,539.08
2023,1,2,15:35,539.08
2023,1,2,15:15,539.08
2023,1,2,14:55,539.08
2023,1,2,14:35,539.08
2023,1,2,14:15,538.52
2023,1,2,13:55,538.52
2023,1,2,13:35,539.08
2023,1,2,13:15,539.08
2023,1,2,12:55,539.08
2023,1,2,12:35,538.52
2023,1,2,12:15,538.52
2023,1,2,11:55,538.52
2023,1,2,11:35,538.52
2023,1,2,11:15,538.52
2023,1,2,10:55,538.52
2023,1,2,10:35,538.52
2023,1,2,10:15,538.52
2023,1,2,9:55,538.52
2023,1,2,9:35,538.52
2023,1,2,9:15,538.52
2023,1,2,8:55,538.52
2023,1,2,8:35,538.52
2023,1,2,8:15,538.52
2023,1,2,7:55,539.08
2023,1,2,7:35,539.08
2023,1,2,7:15,539.08
2023,1,2,6:55,539.08
2023,1,2,6:35,539.08
2023,1,2,6:15,539.08
2023,1,2,5:55,540.19
2023,1,2,5:35,540.19
2023,1,2,5:15,540.19
2023,1,2,4:55,540.19
2023,1,2,4:35,540.19
2023,1,2,4:15,540.19
2023,1,2,3:55,540.19
2023,1,2,3:35,540.19
2023,1,2,3:15,540.19
2023,1,2,2:55,540.19
2023,1,2,2:35,540.19
2023,1,2,2:15,540.19
2023,1,2,1:55,540.19
2023,1,2,1:35,540.19
2023,1,2,1:15,540.19
2023,1,2,0:55,540.19
2023,1,2,0:35,541.3
2023,1,2,0:15,541.3
2023,1,1,23:55,541.3
2023,1,1,23:35,541.3
2023,1,1,23:15,541.3
2023,1,1,22:55,541.3
2023,1,1,22:35,541.3
2023,1,1,22:15,541.3
2023,1,1,21:55,541.3
2023,1,1,21:35,541.3
2023,1,1,21:15,542.41
2023,1,1,20:55,542.41
2023,1,1,20:35,542.41
2023,1,1,20:15,542.41
2023,1,1,19:55,542.41
2023,1,1,19:35,542.41
2023,1,1,19:15,542.41
2023,1,1,18:55,542.41
2023,1,1,18:35,542.41
2023,1,1,18:15,542.41
2023,1,1,17:55,542.41
2023,1,1,17:35,542.41
2023,1,1,17:15,543.52
2023,1,1,16:55,543.52
2023,1,1,16:35,543.52
2023,1,1,16:15,543.52
2023,1,1,15:55,543.52
2023,1,1,15:35,543.52
2023,1,1,15:15,543.52
2023,1,1,14:55,543.52
2023,1,1,14:35,543.52
2023,1,1,14:15,543.52
2023,1,1,13:55,543.52
2023,1,1,13:35,543.52
2023,1,1,13:15,543.52
2023,1,1,12:55,543.52
2023,1,1,12:35,543.52
2023,1,1,12:15,543.52
2023,1,1,11:55,543.52
2023,1,1,11:35,543.52
2023,1,1,11:15,543.52
2023,1,1,10:55,543.52
2023,1,1,10:35,543.52
2023,1,1,10:15,543.52
2023,1,1,9:55,544.08
2023,1,1,9:35,544.08
2023,1,1,9:15,544.08
2023,1,1,8:55,544.08
2023,1,1,8:35,544.08
2023,1,1,8:15,544.08
2023,1,1,7:55,544.08
2023,1,1,7:35,544.08
2023,1,1,7:15,544.08
2023,1,1,6:55,544.08
2023,1,1,6:35,544.08
2023,1,1,6:15,544.08
2023,1,1,5:55,544.08
2023,1,1,5:35,544.08
2023,1,1,5:15,544.08
2023,1,1,4:55,544.08
2023,1,1,4:35,544.08
2023,1,1,4:15,544.08
2023,1,1,3:55,544.08
2023,1,1,3:35,544.08
2023,1,1,3:15,544.08
2023,1,1,2:55,544.08
2023,1,1,2:35,544.08
2023,1,1,2:15,543.52
2023,1,1,1:55,543.52
2023,1,1,1:35,543.52
2023,1,1,1:15,543.52
2023,1,1,0:55,543.52
2023,1,1,0:35,543.52
2023,1,1,0:15,543.52
